Room Number,Location,Manufacturer,Model,Serial Number,MAC Address,DNS Name,IP Address,Username/Password,Switch#/Port#,Station-Port#,POE Wattage,VLAN,Notes,Room Type,
1W05,Lectern 1,Crestron,DM-NVX-350,,,AV-HSB1W05-ENC01,,,,RG1307-1,20 W,NVX,,2A,
1W05,Lectern 1,Crestron,DM-NVX-E30,,,AV-HSB1W05-ENC02,,,,RG1307-2,15 W,NVX,,2A,
1W05,Lectern 1,Crestron,DM-NVX-E30,,,AV-HSB1W05-ENC03,,,,RG1307-3,15 W,NVX,,2A,
1W05,Lectern 1,Crestron,DM-NVX-D30,,,AV-HSB1W05-DEC01,,,,RG1308-1,16 W,NVX,,2A,
1W05,Lectern 1,RDL,AV-XMN4,,,AV-HSB1W05-MDE01,,,,RG1308-2,15 W,Dante,,2A,
1W05,Lectern 1,Crestron,TS-1070-W-S,,,AV-HSB1W05-TP1,,,,RG1308-3,18 W type 2 or 30 W type 4,CONTROL,,2A,
1W05,Lectern 1,OFE,PC,,,,,,,RG1309-1,,LAN,,2A,
1W05,Lectern 1,OFE,LAPTOP,,,,,,,RG1309-2,,LAN,,2A,
1W03,Lectern 2,Crestron,DM-NVX-350,2205NEJ09647,,AV-HSB1W03-ENC01,,,,RG1324-1,20 W,NVX,,2A,
1W03,Lectern 2,Crestron,DM-NVX-E30,2205NEJ09663,,AV-HSB1W03-ENC02,,,,RG1324-2,15 W,NVX,,2A,
1W03,Lectern 2,Crestron,DM-NVX-E30,2205NEJ09644,,AV-HSB1W03-ENC03,,,,RG1324-3,15 W,NVX,,2A,
1W03,Lectern 2,Crestron,DM-NVX-D30,2205NEJ09635,,AV-HSB1W03-DEC01,,,,RG1325-1,16 W,NVX,,2A,
1W03,Lectern 2,EXTRON,SMP 352,A2DWNTV,00-05-0A6-1E-BB-D6,,,,,,,,,,
1W03,Lectern 2,EXTRON,SMP 352,A2DWP0A,00-05-A6-1E-BB-BC,,,,,,,,,,
1W03,Lectern 2,RDL,AV-XMN4,,,AV-HSB1W03-MDE01,,,,RG1325-2,15 W,Dante,,2A,
1W03,Lectern 2,Crestron,TS-1070-W-S,,,AV-HSB1W03-TP1,,,,RG1325-3,18 W type 2 or 30 W type 4,CONTROL,,2A,
1W03,Lectern 2,OFE,PC,,,,,,,RG1326-1,,LAN,,2A,
1W03,Lectern 2,OFE,LAPTOP,,,,,,,RG1326-2,,LAN,,2A,
267 Lecture hall,Floor Box TBD,RDL,AV-XMN4,,,AV-HSB1W05-MDE02,,,,,15 W,Dante,,2A,
267 Lecture hall,Floor Box TBD,RDL,AV-XMN4,,,AV-HSB1W03-MDE02,,,,,15 W,Dante,,2A,
1W05,Projector 1,Crestron,DM-NVX-D80-IOAV,,,AV-HSB1W05-DEC02,,,,RG1313-1,16 W,NVX,,2A,
1W05,Projector 2,Crestron,DM-NVX-D80-IOAV,,,AV-HSB1W05-DEC03,,,,RG1310-1,16 W,NVX,,2A,
1W05,Projector 3,Crestron,DM-NVX-D80-IOAV,,,AV-HSB1W05-DEC04,,,,RG1311-1,16 W,NVX,,2A,
